,PCX,Highest contributing feature
207,PC208,pfp215
208,PC209,pfp547
209,PC210,pfp916
210,PC211,pfp752
211,PC212,pfp753
212,PC213,pfp752
213,PC214,pfp99
214,PC215,pfp850
215,PC216,pfp215
216,PC217,pfp798
217,PC218,pfp547
218,PC219,pfp753
219,PC220,pfp850
220,PC221,pfp753
221,PC222,pfp856
222,PC223,pfp753
223,PC224,pfp850
224,PC225,pfp1023
225,PC226,pfp753
226,PC227,pfp215
227,PC228,pfp596
228,PC229,pfp987
229,PC230,pfp324
230,PC231,pfp99
231,PC232,pfp977
232,PC233,pfp466
233,PC234,pfp817
234,PC235,pfp753
235,PC236,pfp422
236,PC237,pfp850
237,PC238,pfp256
238,PC239,pfp324
239,PC240,pfp308
240,PC241,pfp412
241,PC242,pfp308
242,PC243,pfp466
243,PC244,pfp422
244,PC245,pfp137
245,PC246,pfp596
246,PC247,pfp182
247,PC248,pfp137
248,PC249,pfp182
249,PC250,pfp317
250,PC251,pfp137
251,PC252,pfp686
252,PC253,pfp199
253,PC254,pfp686
254,PC255,pfp572
255,PC256,pfp572
256,PC257,pfp317
257,PC258,pfp137
258,PC259,pfp269
259,PC260,pfp30
260,PC261,pfp784
261,PC262,pfp405
262,PC263,pfp257
263,PC264,pfp405
264,PC265,pfp240
265,PC266,pfp269
266,PC267,pfp137
267,PC268,pfp240
268,PC269,pfp111
269,PC270,pfp257
270,PC271,pfp572
271,PC272,pfp111
272,PC273,pfp616
273,PC274,pfp609
274,PC275,pfp317
275,PC276,pfp640
276,PC277,pfp813
277,PC278,pfp867
278,PC279,pfp111
279,PC280,pfp481
280,PC281,pfp709
281,PC282,pfp646
282,PC283,pfp867
283,PC284,pfp26
284,PC285,pfp646
285,PC286,pfp499
286,PC287,pfp725
287,PC288,pfp159
288,PC289,pfp729
289,PC290,pfp237
290,PC291,pfp929
291,PC292,pfp646
292,PC293,pfp211
293,PC294,pfp26
294,PC295,pfp987
295,PC296,pfp600
296,PC297,pfp416
297,PC298,pfp202
298,PC299,pfp440
299,PC300,pfp81
300,PC301,pfp555
301,PC302,pfp646
302,PC303,pfp600
303,PC304,pfp338
304,PC305,pfp76
305,PC306,pfp59
306,PC307,pfp211
307,PC308,pfp879
308,PC309,pfp1010
309,PC310,pfp204
310,PC311,pfp481
311,PC312,pfp237
312,PC313,pfp657
313,PC314,pfp25
314,PC315,pfp478
315,PC316,pfp729
316,PC317,pfp1023
317,PC318,pfp608
318,PC319,pfp279
319,PC320,pfp109
320,PC321,pfp555
321,PC322,pfp662
322,PC323,pfp2
323,PC324,pfp624
324,PC325,pfp250
325,PC326,pfp1010
326,PC327,pfp478
327,PC328,pfp250
328,PC329,pfp478
329,PC330,pfp871
330,PC331,pfp920
331,PC332,pfp729
332,PC333,pfp1022
333,PC334,pfp773
334,PC335,pfp885
335,PC336,pfp324
336,PC337,pfp250
337,PC338,pfp177
338,PC339,pfp565
339,PC340,pfp62
340,PC341,pfp565
341,PC342,pfp603
342,PC343,pfp987
343,PC344,pfp539
344,PC345,pfp149
345,PC346,pfp565
346,PC347,pfp979
347,PC348,pfp9
348,PC349,pfp75
